Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Baltimore,BARN,mg/L,13326,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1.9
LTER,Baltimore,DRKR,mg/L,5812,1999-11-16T00:00:00Z,2017-03-09T00:00:00Z,0.9
LTER,Baltimore,GF5,mg/L,293,1999-11-19T00:00:00Z,2000-09-06T00:00:00Z,1
LTER,Baltimore,GFCP,mg/L,2002,1999-11-16T00:00:00Z,2019-01-11T00:00:00Z,0.3
LTER,Baltimore,GFGB,mg/L,13062,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1.9
LTER,Baltimore,GFGL,mg/L,12830,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1.8
LTER,Baltimore,GFVN,mg/L,8332,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1.2
LTER,Baltimore,HH,mg/L,289,1999-11-19T00:00:00Z,2000-09-02T00:00:00Z,1
LTER,Baltimore,HLB,mg/L,295,1999-11-19T00:00:00Z,2000-09-08T00:00:00Z,1
LTER,Baltimore,JBHH,mg/L,3724,2003-08-20T00:00:00Z,2010-05-12T00:00:00Z,1.5
LTER,Baltimore,JBNW,mg/L,1383,2003-08-20T00:00:00Z,2010-06-09T00:00:00Z,0.6
LTER,Baltimore,JBON,mg/L,1515,2003-08-20T00:00:00Z,2010-05-12T00:00:00Z,0.6
LTER,Baltimore,MAWI,mg/L,37,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0
LTER,Baltimore,MCDN,mg/L,11258,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,1.7
LTER,Baltimore,POBR,mg/L,13371,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1.9
LTER,Baltimore,RGHT,mg/L,1216,1999-11-16T00:00:00Z,2017-01-13T00:00:00Z,0.2
LTER,Baltimore,RR1,mg/L,285,1999-11-19T00:00:00Z,2000-08-29T00:00:00Z,1
LTER,Baltimore,RR2,mg/L,285,1999-11-19T00:00:00Z,2000-08-29T00:00:00Z,1
LTER,Baltimore,SL1,mg/L,295,1999-11-19T00:00:00Z,2000-09-08T00:00:00Z,1
LTER,Baltimore,SL2,mg/L,295,1999-11-19T00:00:00Z,2000-09-08T00:00:00Z,1
LTER,Konza,HIKX,mg/L,8275,1994-03-09T00:00:00Z,2019-01-01T00:00:00Z,0.9
LTER,Konza,HOKN,mg/L,4103,1994-04-26T00:00:00Z,2019-01-01T00:00:00Z,0.5
LTER,Konza,KZFL,mg/L,512,1998-03-26T00:00:00Z,1999-08-19T00:00:00Z,1
LTER,Konza,N01B,mg/L,15736,1989-09-06T00:00:00Z,2019-01-01T00:00:00Z,1.5
LTER,Konza,N01B,mg/L,15736,1989-09-06T00:00:00Z,2019-01-01T00:00:00Z,1.5
LTER,Konza,N02B,mg/L,11244,1989-09-20T00:00:00Z,2019-01-01T00:00:00Z,1.1
LTER,Konza,N02B,mg/L,11244,1989-09-20T00:00:00Z,2019-01-01T00:00:00Z,1.1
LTER,Konza,N04D,mg/L,9243,1989-09-07T00:00:00Z,2019-01-01T00:00:00Z,0.9
LTER,Konza,N20B,mg/L,1536,1989-09-06T00:00:00Z,2018-12-28T00:00:00Z,0.1
LTER,Konza,NFKC,mg/L,2272,1999-01-07T00:00:00Z,2019-01-01T00:00:00Z,0.3
LTER,Konza,SFKC,mg/L,2475,1999-02-16T00:00:00Z,2019-01-01T00:00:00Z,0.3
LTER,Konza,SHAN,mg/L,1074,2009-05-02T00:00:00Z,2017-06-22T00:00:00Z,0.4
LTER,Konza,TUBE,mg/L,1442,1996-12-05T00:00:00Z,2006-09-14T00:00:00Z,0.4
LTER,Niwot,ALBION,mg/L,7069,1996-01-09T00:00:00Z,2008-10-31T00:00:00Z,1.5
LTER,Niwot,ALBION_INLET,mg/L,1862,1996-05-17T00:00:00Z,2004-11-12T00:00:00Z,0.6
LTER,Niwot,FLUME,mg/L,482,2005-06-17T00:00:00Z,2008-11-20T00:00:00Z,0.4
LTER,Niwot,GREEN1,mg/L,1393,1996-05-24T00:00:00Z,2008-11-20T00:00:00Z,0.3
LTER,Niwot,GREEN4,mg/L,5418,1995-05-06T00:00:00Z,2008-12-18T00:00:00Z,1.1
LTER,Niwot,GREEN5,mg/L,1682,1998-05-29T00:00:00Z,2008-11-20T00:00:00Z,0.4
LTER,Niwot,MARTINELLI,mg/L,3003,1995-05-17T00:00:00Z,2008-10-04T00:00:00Z,0.6
LTER,Niwot,NAVAJO,mg/L,1539,1996-06-07T00:00:00Z,2008-10-17T00:00:00Z,0.3
LTER,Niwot,ROCK_GLACIER,mg/L,1003,1998-07-17T00:00:00Z,2008-10-04T00:00:00Z,0.3
LTER,Niwot,SADDLE,mg/L,2225,1996-05-24T00:00:00Z,2008-09-19T00:00:00Z,0.5
LTER,Niwot,SADDLE_007,mg/L,1316,1995-06-28T00:00:00Z,2008-07-25T00:00:00Z,0.3
LTER,Niwot,SODDIE,mg/L,445,1999-06-05T00:00:00Z,2008-07-25T00:00:00Z,0.1
LTER,Plum Island Ecosystem,bear_meadow,mg/L,1652,2005-09-30T00:00:00Z,2016-04-20T00:00:00Z,0.4
LTER,Plum Island Ecosystem,cart_creek,mg/L,1627,2001-11-12T00:00:00Z,2016-03-24T00:00:00Z,0.3
LTER,Plum Island Ecosystem,ipswich_dam,mg/L,4260,2001-10-25T00:00:00Z,2017-12-01T00:00:00Z,0.7
LTER,Plum Island Ecosystem,parker_dam,mg/L,4241,2001-11-12T00:00:00Z,2017-12-01T00:00:00Z,0.7
LTER,Plum Island Ecosystem,saw_mill_brook,mg/L,2078,2001-11-01T00:00:00Z,2016-04-20T00:00:00Z,0.4
NEON,NEON,ARIK,mg/L,1346,2012-02-01T00:00:00Z,2019-12-19T00:00:00Z,0.5
NEON,NEON,BIGC,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7
NEON,NEON,BLDE,mg/L,505,2018-03-14T00:00:00Z,2019-12-04T00:00:00Z,0.8
NEON,NEON,BLUE,mg/L,849,2017-03-09T00:00:00Z,2019-12-17T00:00:00Z,0.8
NEON,NEON,BLWA,mg/L,991,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.8
NEON,NEON,CARI,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5
NEON,NEON,COMO,mg/L,884,2015-05-22T00:00:00Z,2019-12-18T00:00:00Z,0.5
NEON,NEON,CUPE,mg/L,1082,2014-12-31T00:00:00Z,2019-12-10T00:00:00Z,0.6
NEON,NEON,FLNT,mg/L,818,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8
NEON,NEON,GUIL,mg/L,986,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6
NEON,NEON,HOPB,mg/L,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9
NEON,NEON,KING,mg/L,1085,2015-06-10T00:00:00Z,2019-12-04T00:00:00Z,0.7
NEON,NEON,LECO,mg/L,972,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6
NEON,NEON,LEWI,mg/L,972,2016-10-06T00:00:00Z,2019-12-12T00:00:00Z,0.8
NEON,NEON,MART,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9
NEON,NEON,MAYF,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7
NEON,NEON,MCDI,mg/L,990,2016-12-14T00:00:00Z,2019-12-11T00:00:00Z,0.9
NEON,NEON,MCRA,mg/L,693,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8
NEON,NEON,OKSR,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5
NEON,NEON,POSE,mg/L,1194,2014-10-29T00:00:00Z,2019-12-11T00:00:00Z,0.6
NEON,NEON,PRIN,mg/L,789,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.7
NEON,NEON,REDB,mg/L,935,2012-02-04T00:00:00Z,2019-12-04T00:00:00Z,0.3
NEON,NEON,SYCA,mg/L,354,2017-06-21T00:00:00Z,2019-12-20T00:00:00Z,0.4
NEON,NEON,TECR,mg/L,284,2018-10-31T00:00:00Z,2019-11-14T00:00:00Z,0.7
NEON,NEON,TOMB,mg/L,1047,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9
NEON,NEON,WALK,mg/L,1172,2015-04-14T00:00:00Z,2019-12-17T00:00:00Z,0.7
NEON,NEON,WLOU,mg/L,886,2017-05-03T00:00:00Z,2019-12-11T00:00:00Z,0.9
