Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Dimple_Inlet_Main,mg/L,159,2008-05-26T00:00:00Z,2010-08-18T00:00:00Z,0.2
LTER,Arctic,Dimple_Outlet_Main,mg/L,171,2008-05-28T00:00:00Z,2010-08-19T00:00:00Z,0.2
LTER,Arctic,I-Minus_2_IMP,mg/L,87,2008-07-04T00:00:00Z,2009-08-13T00:00:00Z,0.2
LTER,Arctic,I-Minus_2_REF,mg/L,79,2008-07-04T00:00:00Z,2009-08-13T00:00:00Z,0.2
LTER,Arctic,I-Minus_2_TK_High,mg/L,47,2008-06-25T00:00:00Z,2009-08-13T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_Low,mg/L,87,2008-07-04T00:00:00Z,2009-08-13T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.177,mg/L,436,1995-07-20T00:00:00Z,2010-08-17T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.3,mg/L,526,1998-06-23T00:00:00Z,2010-08-17T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.47,mg/L,64,2010-07-17T00:00:00Z,2010-08-17T00:00:00Z,2.1
LTER,Arctic,Kuparuk_River_0,mg/L,2,1999-07-20T00:00:00Z,1999-07-20T00:00:00Z,Inf
LTER,Arctic,Kuparuk_River_0.3,mg/L,50,1995-07-20T00:00:00Z,1996-07-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,mg/L,660,1994-06-30T00:00:00Z,2010-08-17T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.74,mg/L,620,1995-07-20T00:00:00Z,2010-08-17T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1,mg/L,482,1995-07-20T00:00:00Z,2010-08-17T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.39,mg/L,528,1997-07-05T00:00:00Z,2010-08-17T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.5,mg/L,6,1996-07-06T00:00:00Z,1998-06-23T00:00:00Z,0
LTER,Arctic,Kuparuk_River_1.8,mg/L,630,1995-07-20T00:00:00Z,2010-08-17T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2,mg/L,674,1995-07-20T00:00:00Z,2010-08-17T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2.5,mg/L,524,1999-06-24T00:00:00Z,2010-08-17T00:00:00Z,0.1
