Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Dimple_Inlet_Main,mg/L,144,2008-05-25T00:00:00Z,2009-08-23T00:00:00Z,0.3
LTER,Arctic,Dimple_Outlet_Main,mg/L,172,2008-05-27T00:00:00Z,2010-08-19T00:00:00Z,0.2
LTER,Arctic,I-Minus_2_IMP,mg/L,138,2007-08-07T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_REF,mg/L,136,2007-08-07T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_High,mg/L,144,2007-08-07T00:00:00Z,2015-06-18T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_Low,mg/L,136,2007-08-07T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_A,mg/L,157,2001-07-14T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_AA,mg/L,181,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_B,mg/L,185,2001-07-14T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_C,mg/L,185,2001-07-14T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_D,mg/L,185,2001-07-14T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_E,mg/L,185,2001-07-14T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.177,mg/L,1598,1995-07-20T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.3,mg/L,1580,2000-07-14T00:00:00Z,2017-08-27T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_-0.47,mg/L,270,2010-07-17T00:00:00Z,2013-06-18T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_-0.7,mg/L,52,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.8
LTER,Arctic,Kuparuk_River_0,mg/L,108,2012-06-21T00:00:00Z,2013-06-18T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_0.3,mg/L,540,1995-07-20T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,mg/L,1618,1994-06-30T00:00:00Z,2015-08-08T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_0.74,mg/L,1472,1995-07-20T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1,mg/L,1304,1995-07-20T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1.39,mg/L,1587,1997-07-18T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1.5,mg/L,42,1996-07-06T00:00:00Z,1997-08-05T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.8,mg/L,1518,1995-07-20T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_2,mg/L,1658,1995-07-20T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_2.5,mg/L,1332,2001-06-22T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_3,mg/L,1558,1996-07-06T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_4,mg/L,1072,1996-07-06T00:00:00Z,2011-08-10T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_4.1,mg/L,436,2012-06-21T00:00:00Z,2016-08-06T00:00:00Z,0.3
LTER,Arctic,North_River_Main,mg/L,198,2009-06-17T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.1,mg/L,1319,1994-07-14T00:00:00Z,2017-08-25T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_-0.3,mg/L,1433,1994-06-25T00:00:00Z,2017-08-25T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_-0.7,mg/L,1309,1994-07-14T00:00:00Z,2017-08-25T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_-1.2,mg/L,80,2015-06-27T00:00:00Z,2015-08-05T00:00:00Z,2.1
LTER,Arctic,Oksrukuyik_Creek_0.23,mg/L,148,1994-07-14T00:00:00Z,1997-08-09T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_0.48,mg/L,90,1994-07-14T00:00:00Z,1996-08-08T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_1.06,mg/L,148,1994-07-14T00:00:00Z,1997-08-09T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_1.37,mg/L,90,1994-07-14T00:00:00Z,1996-08-08T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_1.7,mg/L,148,1994-07-14T00:00:00Z,1997-08-09T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_2.5,mg/L,90,1994-07-14T00:00:00Z,1996-08-08T00:00:00Z,0.1
LTER,Arctic,South_River_Main,mg/L,264,2008-05-27T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Toolik_River_IMP,mg/L,176,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,Toolik_River_REF,mg/L,169,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,Toolik_River_TK_Above,mg/L,113,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_TK_Low,mg/L,181,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,Toolik_River_TK_Mid,mg/L,147,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,VTK_IMP_Main,mg/L,123,2010-06-24T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,VTK_REF_Main,mg/L,125,2010-06-24T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,H. J. Andrews,GSLOOK,mg/L,36136,1974-11-13T00:00:00Z,2019-05-22T00:00:00Z,2.2
LTER,H. J. Andrews,GSMACK,mg/L,73626,1974-11-13T00:00:00Z,2019-05-22T00:00:00Z,4.5
LTER,H. J. Andrews,GSMACK,mg/L,73626,1974-11-13T00:00:00Z,2019-05-22T00:00:00Z,4.5
LTER,H. J. Andrews,GSWS01,mg/L,37322,1974-11-13T00:00:00Z,2019-05-22T00:00:00Z,2.3
LTER,H. J. Andrews,GSWS02,mg/L,48194,1974-11-13T00:00:00Z,2019-05-22T00:00:00Z,3
LTER,H. J. Andrews,GSWS03,mg/L,26012,1974-11-13T00:00:00Z,2019-05-22T00:00:00Z,1.6
LTER,H. J. Andrews,GSWS06,mg/L,36408,1974-11-12T00:00:00Z,2019-05-22T00:00:00Z,2.2
LTER,H. J. Andrews,GSWS07,mg/L,36701,1974-11-12T00:00:00Z,2019-05-22T00:00:00Z,2.3
LTER,H. J. Andrews,GSWS08,mg/L,41947,1974-11-12T00:00:00Z,2019-05-22T00:00:00Z,2.6
LTER,H. J. Andrews,GSWS09,mg/L,42140,1974-10-11T00:00:00Z,2019-05-22T00:00:00Z,2.6
LTER,H. J. Andrews,GSWS10,mg/L,42264,1974-10-11T00:00:00Z,2019-05-22T00:00:00Z,2.6
LTER,H. J. Andrews,GSWSMA,mg/L,26012,1974-11-13T00:00:00Z,2019-05-22T00:00:00Z,1.6
LTER,H. J. Andrews,GSWSMC,mg/L,26012,1974-11-13T00:00:00Z,2019-05-22T00:00:00Z,1.6
LTER,H. J. Andrews,GSWSMF,mg/L,26012,1974-11-13T00:00:00Z,2019-05-22T00:00:00Z,1.6
LTER,Konza,N01B,mg/L,12604,1989-01-28T00:00:00Z,2018-12-28T00:00:00Z,1.2
LTER,Konza,N01B,mg/L,12604,1989-01-28T00:00:00Z,2018-12-28T00:00:00Z,1.2
LTER,Konza,N02B,mg/L,12604,1989-01-28T00:00:00Z,2018-12-28T00:00:00Z,1.2
LTER,Konza,N02B,mg/L,12604,1989-01-28T00:00:00Z,2018-12-28T00:00:00Z,1.2
LTER,Konza,N04D,mg/L,6302,1989-01-28T00:00:00Z,2018-12-28T00:00:00Z,0.6
LTER,Konza,N20B,mg/L,6302,1989-01-28T00:00:00Z,2018-12-28T00:00:00Z,0.6
