Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,I-Minus_2_IMP,mg/L,46,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_REF,mg/L,46,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_High,mg/L,41,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_Low,mg/L,46,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_A,mg/L,54,2006-07-02T00:00:00Z,2011-07-02T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_AA,mg/L,76,2007-06-24T00:00:00Z,2011-07-02T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_B,mg/L,77,2006-07-02T00:00:00Z,2011-07-02T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_C,mg/L,77,2006-07-02T00:00:00Z,2011-07-02T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_D,mg/L,77,2006-07-02T00:00:00Z,2011-07-02T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_E,mg/L,77,2006-07-02T00:00:00Z,2011-07-02T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.1,mg/L,190,2016-06-18T00:00:00Z,2017-09-13T00:00:00Z,0.4
LTER,Arctic,Kuparuk_River_-0.3,mg/L,102,2015-06-17T00:00:00Z,2017-06-25T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.74,mg/L,237,2007-07-13T00:00:00Z,2013-06-18T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.39,mg/L,208,2013-06-25T00:00:00Z,2017-06-16T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.8,mg/L,1,2009-06-18T00:00:00Z,2009-06-18T00:00:00Z,Inf
LTER,Arctic,Kuparuk_River_2,mg/L,245,2009-06-19T00:00:00Z,2014-08-06T00:00:00Z,0.1
LTER,Arctic,Toolik_River_IMP,mg/L,113,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_REF,mg/L,143,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_TK_Above,mg/L,33,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_TK_Low,mg/L,25,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0
