Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Kuparuk_River_-0.1,mg/cm2,495,1984-06-28T00:00:00Z,2006-08-05T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.177,mg/cm2,653,1997-06-22T00:00:00Z,2015-08-13T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.3,mg/cm2,1158,1986-06-20T00:00:00Z,2015-08-13T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.47,mg/cm2,128,1983-07-23T00:00:00Z,2012-08-11T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.7,mg/cm2,54,1983-08-02T00:00:00Z,1985-08-10T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0,mg/cm2,728,1984-06-28T00:00:00Z,2007-08-04T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.3,mg/cm2,791,1983-08-02T00:00:00Z,2015-08-13T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,mg/cm2,458,1985-07-02T00:00:00Z,2015-08-13T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0.74,mg/cm2,1039,1985-07-02T00:00:00Z,2015-08-13T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1,mg/cm2,1168,1983-07-23T00:00:00Z,2015-08-13T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.39,mg/cm2,751,1986-06-20T00:00:00Z,2015-08-13T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.5,mg/cm2,134,1991-07-18T00:00:00Z,1998-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.8,mg/cm2,739,1990-06-27T00:00:00Z,2015-08-01T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2,mg/cm2,1282,1984-06-28T00:00:00Z,2015-08-01T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2.5,mg/cm2,731,1996-06-26T00:00:00Z,2015-08-01T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_3,mg/cm2,1225,1984-06-28T00:00:00Z,2015-08-01T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4,mg/cm2,1005,1985-07-02T00:00:00Z,2011-08-09T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4.1,mg/cm2,185,2012-06-23T00:00:00Z,2015-08-01T00:00:00Z,0.2
LTER,Arctic,North_River_Main,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.1,mg/cm2,1072,1990-08-08T00:00:00Z,2015-08-05T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.3,mg/cm2,1072,1990-08-08T00:00:00Z,2015-08-05T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.7,mg/cm2,1012,1990-08-08T00:00:00Z,2015-08-05T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-1.2,mg/cm2,40,2015-06-27T00:00:00Z,2015-08-05T00:00:00Z,1
LTER,Arctic,Oksrukuyik_Creek_0.23,mg/cm2,400,1990-08-08T00:00:00Z,1998-08-07T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_0.48,mg/cm2,312,1990-08-08T00:00:00Z,1996-08-14T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_1.06,mg/cm2,400,1990-08-08T00:00:00Z,1998-08-07T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_1.37,mg/cm2,312,1990-08-08T00:00:00Z,1996-08-14T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_1.7,mg/cm2,351,1991-06-18T00:00:00Z,1998-08-07T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_2.5,mg/cm2,281,1991-07-19T00:00:00Z,1998-07-11T00:00:00Z,0.1
LTER,Arctic,South_River_Main,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,VTK_IMP_Main,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,VTK_REF_Main,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
