Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,H. J. Andrews,GSLOOK,mg/L,12614,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,1.3
LTER,H. J. Andrews,GSMACK,mg/L,36836,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,3.8
LTER,H. J. Andrews,GSMACK,mg/L,36836,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,3.8
LTER,H. J. Andrews,GSWS01,mg/L,13922,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,1.4
LTER,H. J. Andrews,GSWS02,mg/L,24630,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,2.5
LTER,H. J. Andrews,GSWS03,mg/L,12614,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,1.3
LTER,H. J. Andrews,GSWS06,mg/L,16649,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,1.7
LTER,H. J. Andrews,GSWS07,mg/L,17019,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,1.7
LTER,H. J. Andrews,GSWS08,mg/L,22227,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,2.3
LTER,H. J. Andrews,GSWS09,mg/L,22153,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,2.3
LTER,H. J. Andrews,GSWS10,mg/L,22345,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,2.3
LTER,H. J. Andrews,GSWSMA,mg/L,12614,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,1.3
LTER,H. J. Andrews,GSWSMC,mg/L,12614,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,1.3
LTER,H. J. Andrews,GSWSMF,mg/L,12614,1978-06-28T00:00:00Z,2005-05-10T00:00:00Z,1.3
