Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,H. J. Andrews,GSLOOK,mg/L,30082,1978-06-28T00:00:00Z,2019-05-21T00:00:00Z,2
LTER,H. J. Andrews,GSMACK,mg/L,61284,1978-06-28T00:00:00Z,2019-05-22T00:00:00Z,4.1
LTER,H. J. Andrews,GSMACK,mg/L,61284,1978-06-28T00:00:00Z,2019-05-22T00:00:00Z,4.1
LTER,H. J. Andrews,GSWS01,mg/L,31268,1978-06-28T00:00:00Z,2019-05-21T00:00:00Z,2.1
LTER,H. J. Andrews,GSWS02,mg/L,41976,1978-06-28T00:00:00Z,2019-05-21T00:00:00Z,2.8
LTER,H. J. Andrews,GSWS03,mg/L,19958,1978-06-28T00:00:00Z,2017-04-05T00:00:00Z,1.4
LTER,H. J. Andrews,GSWS06,mg/L,29077,1978-06-28T00:00:00Z,2019-05-22T00:00:00Z,1.9
LTER,H. J. Andrews,GSWS07,mg/L,29323,1978-06-28T00:00:00Z,2019-05-22T00:00:00Z,2
LTER,H. J. Andrews,GSWS08,mg/L,34572,1978-06-28T00:00:00Z,2019-05-22T00:00:00Z,2.3
LTER,H. J. Andrews,GSWS09,mg/L,34580,1978-06-28T00:00:00Z,2019-05-21T00:00:00Z,2.3
LTER,H. J. Andrews,GSWS10,mg/L,34772,1978-06-28T00:00:00Z,2019-05-21T00:00:00Z,2.3
LTER,H. J. Andrews,GSWSMA,mg/L,19958,1978-06-28T00:00:00Z,2017-04-05T00:00:00Z,1.4
LTER,H. J. Andrews,GSWSMC,mg/L,19958,1978-06-28T00:00:00Z,2017-04-05T00:00:00Z,1.4
LTER,H. J. Andrews,GSWSMF,mg/L,19958,1978-06-28T00:00:00Z,2017-04-05T00:00:00Z,1.4
