Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,H. J. Andrews,GSLOOK,mg/L,35038,1974-11-13T00:00:00Z,2019-05-21T00:00:00Z,2.2
LTER,H. J. Andrews,GSMACK,mg/L,71510,1974-11-13T00:00:00Z,2019-05-22T00:00:00Z,4.4
LTER,H. J. Andrews,GSMACK,mg/L,71510,1974-11-13T00:00:00Z,2019-05-22T00:00:00Z,4.4
LTER,H. J. Andrews,GSWS01,mg/L,36224,1974-11-13T00:00:00Z,2019-05-21T00:00:00Z,2.2
LTER,H. J. Andrews,GSWS02,mg/L,47096,1974-11-13T00:00:00Z,2019-05-21T00:00:00Z,2.9
LTER,H. J. Andrews,GSWS03,mg/L,24914,1974-11-13T00:00:00Z,2017-04-05T00:00:00Z,1.6
LTER,H. J. Andrews,GSWS06,mg/L,35310,1974-11-12T00:00:00Z,2019-05-22T00:00:00Z,2.2
LTER,H. J. Andrews,GSWS07,mg/L,35603,1974-11-12T00:00:00Z,2019-05-22T00:00:00Z,2.2
LTER,H. J. Andrews,GSWS08,mg/L,40849,1974-11-12T00:00:00Z,2019-05-22T00:00:00Z,2.5
LTER,H. J. Andrews,GSWS09,mg/L,41042,1974-10-11T00:00:00Z,2019-05-21T00:00:00Z,2.5
LTER,H. J. Andrews,GSWS10,mg/L,41166,1974-10-11T00:00:00Z,2019-05-21T00:00:00Z,2.5
LTER,H. J. Andrews,GSWSMA,mg/L,24914,1974-11-13T00:00:00Z,2017-04-05T00:00:00Z,1.6
LTER,H. J. Andrews,GSWSMC,mg/L,24914,1974-11-13T00:00:00Z,2017-04-05T00:00:00Z,1.6
LTER,H. J. Andrews,GSWSMF,mg/L,24914,1974-11-13T00:00:00Z,2017-04-05T00:00:00Z,1.6
