Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
NEON,NEON,ARIK,unitless,999,2016-10-05T00:00:00Z,2019-12-19T00:00:00Z,0.9
NEON,NEON,BIGC,unitless,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7
NEON,NEON,BLDE,unitless,491,2018-03-07T00:00:00Z,2019-11-13T00:00:00Z,0.8
NEON,NEON,BLUE,unitless,886,2017-01-31T00:00:00Z,2019-12-17T00:00:00Z,0.8
NEON,NEON,BLWA,unitless,1024,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.9
NEON,NEON,CARI,unitless,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5
NEON,NEON,COMO,unitless,884,2015-05-22T00:00:00Z,2019-12-18T00:00:00Z,0.5
NEON,NEON,CUPE,unitless,1124,2014-12-31T00:00:00Z,2019-12-10T00:00:00Z,0.6
NEON,NEON,FLNT,unitless,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8
NEON,NEON,GUIL,unitless,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6
NEON,NEON,HOPB,unitless,958,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.8
NEON,NEON,KING,unitless,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7
NEON,NEON,LECO,unitless,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6
NEON,NEON,LEWI,unitless,939,2016-10-06T00:00:00Z,2019-12-12T00:00:00Z,0.8
NEON,NEON,MART,unitless,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9
NEON,NEON,MAYF,unitless,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7
NEON,NEON,MCDI,unitless,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9
NEON,NEON,MCRA,unitless,748,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8
NEON,NEON,OKSR,unitless,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5
NEON,NEON,POSE,unitless,1227,2014-10-29T00:00:00Z,2019-12-11T00:00:00Z,0.7
NEON,NEON,PRIN,unitless,789,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.7
NEON,NEON,REDB,unitless,844,2016-10-05T00:00:00Z,2019-12-04T00:00:00Z,0.7
NEON,NEON,SYCA,unitless,345,2017-06-21T00:00:00Z,2019-12-11T00:00:00Z,0.4
NEON,NEON,TECR,unitless,284,2018-10-31T00:00:00Z,2019-11-14T00:00:00Z,0.7
NEON,NEON,TOMB,unitless,1039,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9
NEON,NEON,WALK,unitless,1194,2015-04-14T00:00:00Z,2019-12-17T00:00:00Z,0.7
NEON,NEON,WLOU,unitless,852,2017-05-03T00:00:00Z,2019-12-11T00:00:00Z,0.9
