Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,H. J. Andrews,GSLOOK,mg/L,37348,1969-02-04T00:00:00Z,2019-05-21T00:00:00Z,2
LTER,H. J. Andrews,GSMACK,mg/L,76888,1969-02-04T00:00:00Z,2019-05-22T00:00:00Z,4.2
LTER,H. J. Andrews,GSMACK,mg/L,76888,1969-02-04T00:00:00Z,2019-05-22T00:00:00Z,4.2
LTER,H. J. Andrews,GSWS01,mg/L,38698,1969-02-04T00:00:00Z,2019-05-21T00:00:00Z,2.1
LTER,H. J. Andrews,GSWS02,mg/L,49888,1969-02-04T00:00:00Z,2019-05-21T00:00:00Z,2.7
LTER,H. J. Andrews,GSWS03,mg/L,27224,1969-02-04T00:00:00Z,2017-04-05T00:00:00Z,1.5
LTER,H. J. Andrews,GSWS06,mg/L,38704,1969-02-04T00:00:00Z,2019-05-22T00:00:00Z,2.1
LTER,H. J. Andrews,GSWS07,mg/L,38908,1969-02-04T00:00:00Z,2019-05-22T00:00:00Z,2.1
LTER,H. J. Andrews,GSWS08,mg/L,44208,1969-02-04T00:00:00Z,2019-05-22T00:00:00Z,2.4
LTER,H. J. Andrews,GSWS09,mg/L,45473,1968-10-09T00:00:00Z,2019-05-21T00:00:00Z,2.5
LTER,H. J. Andrews,GSWS10,mg/L,45556,1968-10-09T00:00:00Z,2019-05-21T00:00:00Z,2.5
LTER,H. J. Andrews,GSWSMA,mg/L,27224,1969-02-04T00:00:00Z,2017-04-05T00:00:00Z,1.5
LTER,H. J. Andrews,GSWSMC,mg/L,27224,1969-02-04T00:00:00Z,2017-04-05T00:00:00Z,1.5
LTER,H. J. Andrews,GSWSMF,mg/L,27224,1969-02-04T00:00:00Z,2017-04-05T00:00:00Z,1.5
NEON,NEON,ARIK,mg/L,2170,2012-11-09T00:00:00Z,2020-10-07T00:00:00Z,0.8
NEON,NEON,BIGC,mg/L,526,2018-02-20T00:00:00Z,2020-07-08T00:00:00Z,0.6
NEON,NEON,BLDE,mg/L,692,2018-03-07T00:00:00Z,2020-10-09T00:00:00Z,0.7
NEON,NEON,BLUE,mg/L,811,2017-02-15T00:00:00Z,2020-03-06T00:00:00Z,0.7
NEON,NEON,BLWA,mg/L,1115,2016-10-05T00:00:00Z,2020-10-16T00:00:00Z,0.8
NEON,NEON,CARI,mg/L,925,2016-07-20T00:00:00Z,2020-10-08T00:00:00Z,0.6
NEON,NEON,COMO,mg/L,1410,2015-05-22T00:00:00Z,2020-10-14T00:00:00Z,0.7
NEON,NEON,CUPE,mg/L,1605,2014-12-31T00:00:00Z,2020-10-06T00:00:00Z,0.8
NEON,NEON,FLNT,mg/L,834,2017-03-08T00:00:00Z,2020-06-24T00:00:00Z,0.7
NEON,NEON,GUIL,mg/L,1509,2015-01-23T00:00:00Z,2020-10-07T00:00:00Z,0.7
NEON,NEON,HOPB,mg/L,1150,2016-09-07T00:00:00Z,2020-10-07T00:00:00Z,0.8
NEON,NEON,KING,mg/L,1412,2015-06-10T00:00:00Z,2020-09-15T00:00:00Z,0.7
NEON,NEON,LECO,mg/L,1380,2015-08-11T00:00:00Z,2020-10-07T00:00:00Z,0.7
NEON,NEON,LEWI,mg/L,1169,2016-10-06T00:00:00Z,2020-10-15T00:00:00Z,0.8
NEON,NEON,MART,mg/L,677,2017-11-08T00:00:00Z,2020-10-08T00:00:00Z,0.6
NEON,NEON,MAYF,mg/L,1862,2014-10-22T00:00:00Z,2020-10-07T00:00:00Z,0.9
NEON,NEON,MCDI,mg/L,1035,2016-12-14T00:00:00Z,2020-09-22T00:00:00Z,0.8
NEON,NEON,MCRA,mg/L,761,2017-06-14T00:00:00Z,2020-07-08T00:00:00Z,0.7
NEON,NEON,OKSR,mg/L,675,2016-07-15T00:00:00Z,2020-10-08T00:00:00Z,0.4
NEON,NEON,POSE,mg/L,1831,2014-07-23T00:00:00Z,2020-10-14T00:00:00Z,0.8
NEON,NEON,PRIN,mg/L,843,2016-08-31T00:00:00Z,2020-02-12T00:00:00Z,0.7
NEON,NEON,REDB,mg/L,1049,2015-10-07T00:00:00Z,2020-10-14T00:00:00Z,0.6
NEON,NEON,SYCA,mg/L,458,2017-06-21T00:00:00Z,2020-10-06T00:00:00Z,0.4
NEON,NEON,TECR,mg/L,299,2018-10-31T00:00:00Z,2020-07-07T00:00:00Z,0.5
NEON,NEON,TOMB,mg/L,1230,2016-10-12T00:00:00Z,2020-10-14T00:00:00Z,0.8
NEON,NEON,WALK,mg/L,1588,2015-04-14T00:00:00Z,2020-10-14T00:00:00Z,0.8
NEON,NEON,WLOU,mg/L,938,2017-05-03T00:00:00Z,2020-09-17T00:00:00Z,0.8
