Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,HBEF,w1,ueq/L,35940,1970-01-08T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,HBEF,w2,ueq/L,35827,1970-01-08T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,HBEF,w3,ueq/L,35938,1970-01-08T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,HBEF,w4,ueq/L,35938,1970-01-08T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,HBEF,w5,ueq/L,35849,1970-01-08T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,HBEF,w6,ueq/L,35935,1970-01-08T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,HBEF,w7,ueq/L,35938,1970-01-08T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,HBEF,w8,ueq/L,35938,1970-01-08T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,HBEF,w9,ueq/L,35904,1970-01-08T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,Niwot,ALBION,ueq/L,7667,1991-02-02T00:00:00Z,2018-10-04T00:00:00Z,0.8
LTER,Niwot,ALBION_INLET,ueq/L,3018,1991-05-25T00:00:00Z,2004-11-12T00:00:00Z,0.6
LTER,Niwot,FLUME,ueq/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4
LTER,Niwot,GREEN1,ueq/L,2221,1991-05-25T00:00:00Z,2010-10-08T00:00:00Z,0.3
LTER,Niwot,GREEN4,ueq/L,6330,1991-02-02T00:00:00Z,2018-10-19T00:00:00Z,0.6
LTER,Niwot,GREEN5,ueq/L,3829,1991-05-25T00:00:00Z,2018-09-26T00:00:00Z,0.4
LTER,Niwot,MARTINELLI,ueq/L,3336,1991-05-11T00:00:00Z,2018-08-17T00:00:00Z,0.3
LTER,Niwot,NAVAJO,ueq/L,3038,1991-06-01T00:00:00Z,2018-09-21T00:00:00Z,0.3
LTER,Niwot,ROCK_GLACIER,ueq/L,1950,1998-07-17T00:00:00Z,2018-09-26T00:00:00Z,0.3
LTER,Niwot,SADDLE,ueq/L,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3
LTER,Niwot,SADDLE_007,ueq/L,2190,1994-05-19T00:00:00Z,2018-06-21T00:00:00Z,0.2
LTER,Niwot,SODDIE,ueq/L,744,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1
