Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Niwot,ALBION,ppt,3822,1998-06-12T00:00:00Z,2017-06-30T00:00:00Z,0.5
LTER,Niwot,ALBION_INLET,ppt,856,2000-04-19T00:00:00Z,2004-11-12T00:00:00Z,0.5
LTER,Niwot,FLUME,ppt,1699,2005-06-17T00:00:00Z,2016-06-17T00:00:00Z,0.4
LTER,Niwot,GREEN1,ppt,1047,1998-06-12T00:00:00Z,2010-10-08T00:00:00Z,0.2
LTER,Niwot,GREEN4,ppt,3278,1998-06-12T00:00:00Z,2017-06-30T00:00:00Z,0.5
LTER,Niwot,GREEN5,ppt,2046,1998-06-12T00:00:00Z,2017-06-30T00:00:00Z,0.3
LTER,Niwot,MARTINELLI,ppt,1928,1998-06-12T00:00:00Z,2017-06-30T00:00:00Z,0.3
LTER,Niwot,NAVAJO,ppt,1587,1998-06-12T00:00:00Z,2016-07-29T00:00:00Z,0.2
LTER,Niwot,ROCK_GLACIER,ppt,1332,2002-06-21T00:00:00Z,2017-07-07T00:00:00Z,0.2
LTER,Niwot,SADDLE,ppt,1360,2002-05-07T00:00:00Z,2017-06-30T00:00:00Z,0.2
LTER,Niwot,SADDLE_007,ppt,1380,2000-05-23T00:00:00Z,2017-06-28T00:00:00Z,0.2
LTER,Niwot,SODDIE,ppt,659,2000-05-18T00:00:00Z,2013-10-16T00:00:00Z,0.1
