Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Kuparuk_River_-0.1,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_-0.177,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_-0.3,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_-0.47,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_-0.7,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_0,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_0.3,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_0.56,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_0.74,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_1,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_1.39,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_1.5,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_1.8,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_2,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_2.5,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_3,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_4,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_4.1,L/s,3964,1978-05-21T00:00:00Z,2019-09-12T00:00:00Z,0.3
LTER,Arctic,Oksrukuyik_Creek_-0.1,L/s,2375,1989-06-05T00:00:00Z,2019-09-11T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_-0.3,L/s,2375,1989-06-05T00:00:00Z,2019-09-11T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_-0.7,L/s,2375,1989-06-05T00:00:00Z,2019-09-11T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_-1.2,L/s,2375,1989-06-05T00:00:00Z,2019-09-11T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_0.23,L/s,2375,1989-06-05T00:00:00Z,2019-09-11T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_0.48,L/s,2375,1989-06-05T00:00:00Z,2019-09-11T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_1.06,L/s,2375,1989-06-05T00:00:00Z,2019-09-11T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_1.37,L/s,2375,1989-06-05T00:00:00Z,2019-09-11T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_1.7,L/s,2375,1989-06-05T00:00:00Z,2019-09-11T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_2.5,L/s,2375,1989-06-05T00:00:00Z,2019-09-11T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_2.7,L/s,2375,1989-06-05T00:00:00Z,2019-09-11T00:00:00Z,0.2
LTER,Arctic,Roche_Moutonnee_Creek_Main,L/s,283,2015-06-28T00:00:00Z,2017-09-22T00:00:00Z,0.3
LTER,Arctic,Toolik_Inlet_Main,L/s,2532,1991-07-17T00:00:00Z,2018-10-08T00:00:00Z,0.3
LTER,Arctic,Trevor_Creek_Main,L/s,517,2015-06-28T00:00:00Z,2019-09-13T00:00:00Z,0.3
LTER,Baltimore,BARN,L/s,7653,1999-11-02T00:00:00Z,2020-12-19T00:00:00Z,1
LTER,Baltimore,DRKR,L/s,8200,1998-07-09T00:00:00Z,2020-12-19T00:00:00Z,1
LTER,Baltimore,GFCP,L/s,7932,1998-10-28T00:00:00Z,2020-12-01T00:00:00Z,1
LTER,Baltimore,GFGB,L/s,8116,1998-10-01T00:00:00Z,2020-12-19T00:00:00Z,1
LTER,Baltimore,GFGL,L/s,7431,1998-10-01T00:00:00Z,2019-06-07T00:00:00Z,1
LTER,Baltimore,GFVN,L/s,8944,1981-02-02T00:00:00Z,2020-12-19T00:00:00Z,0.6
LTER,Baltimore,MAWI,L/s,1460,2001-10-02T00:00:00Z,2005-09-30T00:00:00Z,1
LTER,Baltimore,MCDN,L/s,7129,1999-12-01T00:00:00Z,2019-06-07T00:00:00Z,1
LTER,Baltimore,POBR,L/s,8153,1998-04-16T00:00:00Z,2020-12-01T00:00:00Z,1
LTER,Bonanza Creek,C2,L/s,5195,1969-06-17T00:00:00Z,2018-08-22T00:00:00Z,0.3
LTER,Bonanza Creek,C3,L/s,5299,1969-05-20T00:00:00Z,2018-08-22T00:00:00Z,0.3
LTER,Bonanza Creek,C4,L/s,4447,1980-05-22T00:00:00Z,2018-08-22T00:00:00Z,0.3
LTER,HBEF,w1,L/s,23530,1956-01-02T00:00:00Z,2020-06-02T00:00:00Z,1
LTER,HBEF,w2,L/s,22891,1957-10-02T00:00:00Z,2020-06-02T00:00:00Z,1
LTER,HBEF,w3,L/s,22891,1957-10-02T00:00:00Z,2020-06-02T00:00:00Z,1
LTER,HBEF,w4,L/s,21888,1960-07-01T00:00:00Z,2020-06-02T00:00:00Z,1
LTER,HBEF,w5,L/s,21338,1962-01-02T00:00:00Z,2020-06-02T00:00:00Z,1
LTER,HBEF,w6,L/s,20973,1963-01-02T00:00:00Z,2020-06-02T00:00:00Z,1
LTER,HBEF,w7,L/s,20243,1965-01-01T00:00:00Z,2020-06-02T00:00:00Z,1
LTER,HBEF,w8,L/s,19027,1968-05-01T00:00:00Z,2020-06-02T00:00:00Z,1
LTER,HBEF,w9,L/s,9286,1995-01-01T00:00:00Z,2020-06-02T00:00:00Z,1
LTER,H. J. Andrews,GSLOOK,L/s,25446,1949-10-01T00:00:00Z,2019-08-08T00:00:00Z,1
LTER,H. J. Andrews,GSWS01,L/s,24472,1952-10-01T00:00:00Z,2019-10-01T00:00:00Z,1
LTER,H. J. Andrews,GSWS02,L/s,24472,1952-10-01T00:00:00Z,2019-10-01T00:00:00Z,1
LTER,H. J. Andrews,GSWS03,L/s,24256,1952-10-01T00:00:00Z,2019-10-01T00:00:00Z,1
LTER,H. J. Andrews,GSWS06,L/s,20455,1963-10-01T00:00:00Z,2019-10-01T00:00:00Z,1
LTER,H. J. Andrews,GSWS07,L/s,17899,1963-10-01T00:00:00Z,2019-10-01T00:00:00Z,0.9
LTER,H. J. Andrews,GSWS08,L/s,20455,1963-10-01T00:00:00Z,2019-10-01T00:00:00Z,1
LTER,H. J. Andrews,GSWS09,L/s,18628,1968-10-01T00:00:00Z,2019-10-01T00:00:00Z,1
LTER,H. J. Andrews,GSWS10,L/s,18628,1968-10-01T00:00:00Z,2019-10-01T00:00:00Z,1
LTER,H. J. Andrews,GSWSMA,L/s,14611,1979-10-01T00:00:00Z,2019-10-01T00:00:00Z,1
LTER,H. J. Andrews,GSWSMC,L/s,8767,1995-10-01T00:00:00Z,2019-10-01T00:00:00Z,1
