Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,I-Minus_2_IMP,unitless,63,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_REF,unitless,63,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_High,unitless,48,2008-08-02T00:00:00Z,2015-06-18T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_Low,unitless,63,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_A,unitless,205,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_AA,unitless,149,2007-07-24T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_B,unitless,174,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_C,unitless,174,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_D,unitless,174,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_E,unitless,173,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.1,unitless,142,2005-06-21T00:00:00Z,2017-09-26T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.177,unitless,740,1994-07-16T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.3,unitless,703,1998-06-23T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.47,unitless,58,2010-08-17T00:00:00Z,2013-06-18T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.7,unitless,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4
LTER,Arctic,Kuparuk_River_0,unitless,55,1999-07-20T00:00:00Z,2013-06-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0.3,unitless,244,2011-06-22T00:00:00Z,2016-08-06T00:00:00Z,0.1
