Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,I-Minus_2_IMP,mg/l,24,2013-07-04T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_REF,mg/l,24,2013-07-04T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_High,mg/l,23,2013-07-04T00:00:00Z,2015-06-18T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_Low,mg/l,24,2013-07-04T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_A,mg/l,135,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_AA,mg/l,135,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_B,mg/l,135,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_C,mg/l,135,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_D,mg/l,135,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_E,mg/l,135,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.1,mg/l,54,2005-06-21T00:00:00Z,2006-08-05T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.177,mg/l,511,2004-06-24T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.3,mg/l,613,2004-06-24T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.47,mg/l,104,2010-08-17T00:00:00Z,2013-06-18T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.7,mg/l,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4
LTER,Arctic,Kuparuk_River_0,mg/l,54,2012-06-21T00:00:00Z,2013-06-18T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.3,mg/l,244,2011-08-10T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,mg/l,544,2004-06-24T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.74,mg/l,588,2004-06-24T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1,mg/l,609,2004-06-24T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.39,mg/l,558,2004-06-24T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.8,mg/l,635,2004-06-24T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2,mg/l,635,2004-06-24T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2.5,mg/l,563,2004-06-24T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_3,mg/l,566,2005-06-21T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4,mg/l,366,2004-06-24T00:00:00Z,2011-08-10T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4.1,mg/l,243,2012-06-21T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,North_River_Main,mg/l,66,2013-06-29T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.1,mg/l,509,2004-06-22T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.3,mg/l,559,2004-06-22T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.7,mg/l,522,2004-06-22T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-1.2,mg/l,40,2015-06-27T00:00:00Z,2015-08-05T00:00:00Z,1
LTER,Arctic,South_River_Main,mg/l,66,2013-06-29T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Toolik_River_IMP,mg/l,55,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,Toolik_River_REF,mg/l,85,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,Toolik_River_TK_Above,mg/l,31,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_TK_Low,mg/l,28,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_TK_Mid,mg/l,28,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,VTK_IMP_Main,mg/l,66,2013-06-29T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,VTK_REF_Main,mg/l,66,2013-06-29T00:00:00Z,2015-07-14T00:00:00Z,0.1
