Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,TLKMAIN,mm,367540,1988-06-01T00:00:00Z,2018-12-31T00:00:00Z,32.9
LTER,Bonanza Creek,C2,mm,5390,1993-09-22T00:00:00Z,2016-10-07T00:00:00Z,0.6
LTER,Bonanza Creek,C3,mm,5390,1993-09-22T00:00:00Z,2016-10-07T00:00:00Z,0.6
LTER,Bonanza Creek,C4,mm,5390,1993-09-22T00:00:00Z,2016-10-07T00:00:00Z,0.6
LTER,HBEF,w1,mm,23611,1956-01-01T00:00:00Z,2020-08-22T00:00:00Z,1
LTER,HBEF,w2,mm,23611,1956-01-01T00:00:00Z,2020-08-22T00:00:00Z,1
LTER,HBEF,w3,mm,23611,1956-01-01T00:00:00Z,2020-08-22T00:00:00Z,1
LTER,HBEF,w4,mm,23611,1956-01-01T00:00:00Z,2020-08-22T00:00:00Z,1
LTER,HBEF,w5,mm,23611,1956-01-01T00:00:00Z,2020-08-22T00:00:00Z,1
LTER,HBEF,w6,mm,23611,1956-01-01T00:00:00Z,2020-08-22T00:00:00Z,1
LTER,HBEF,w7,mm,23611,1956-01-01T00:00:00Z,2020-08-22T00:00:00Z,1
LTER,HBEF,w8,mm,23611,1956-01-01T00:00:00Z,2020-08-22T00:00:00Z,1
LTER,HBEF,w9,mm,23611,1956-01-01T00:00:00Z,2020-08-22T00:00:00Z,1
LTER,H. J. Andrews,GSLOOK,mm,23878,1951-11-21T00:00:00Z,2017-04-05T00:00:00Z,1
LTER,H. J. Andrews,GSMACK,mm,47756,1951-11-21T00:00:00Z,2017-04-05T00:00:00Z,2
LTER,H. J. Andrews,GSMACK,mm,47756,1951-11-21T00:00:00Z,2017-04-05T00:00:00Z,2
LTER,H. J. Andrews,GSWS01,mm,23878,1951-11-21T00:00:00Z,2017-04-05T00:00:00Z,1
LTER,H. J. Andrews,GSWS02,mm,23878,1951-11-21T00:00:00Z,2017-04-05T00:00:00Z,1
LTER,H. J. Andrews,GSWS03,mm,23878,1951-11-21T00:00:00Z,2017-04-05T00:00:00Z,1
LTER,H. J. Andrews,GSWS06,mm,23878,1951-11-21T00:00:00Z,2017-04-05T00:00:00Z,1
LTER,H. J. Andrews,GSWS07,mm,23878,1951-11-21T00:00:00Z,2017-04-05T00:00:00Z,1
LTER,H. J. Andrews,GSWS08,mm,23878,1951-11-21T00:00:00Z,2017-04-05T00:00:00Z,1
