Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,I-Minus_2_IMP,uS/cm,63,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_REF,uS/cm,63,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_High,uS/cm,49,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_Low,uS/cm,63,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_A,uS/cm,233,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_AA,uS/cm,207,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_B,uS/cm,233,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_C,uS/cm,233,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_D,uS/cm,205,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_E,uS/cm,204,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.1,uS/cm,142,2005-06-21T00:00:00Z,2017-09-26T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.177,uS/cm,794,1994-07-16T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.3,uS/cm,755,1998-06-23T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.47,uS/cm,79,2010-08-17T00:00:00Z,2013-06-18T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.7,uS/cm,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4
LTER,Arctic,Kuparuk_River_0,uS/cm,55,1999-07-20T00:00:00Z,2013-06-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0.3,uS/cm,244,2011-06-22T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,uS/cm,813,1994-06-25T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.74,uS/cm,852,1994-07-16T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1,uS/cm,676,1994-07-16T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.39,uS/cm,823,1997-06-21T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.5,uS/cm,103,1996-06-23T00:00:00Z,1998-06-23T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.8,uS/cm,822,1994-07-16T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2,uS/cm,771,1998-06-23T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2.5,uS/cm,653,1999-06-24T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_3,uS/cm,804,1996-06-23T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4,uS/cm,644,1994-07-16T00:00:00Z,2013-06-18T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4.1,uS/cm,198,2012-06-21T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,North_River_Main,uS/cm,65,2011-06-25T00:00:00Z,2015-07-14T00:00:00Z,0
LTER,Arctic,Oksrukuyik_Creek_-0.1,uS/cm,864,1994-06-25T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.3,uS/cm,881,1994-06-25T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.7,uS/cm,812,1994-06-25T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-1.2,uS/cm,93,2015-06-17T00:00:00Z,2015-09-17T00:00:00Z,1
LTER,Arctic,Oksrukuyik_Creek_0.23,uS/cm,262,1994-06-25T00:00:00Z,1998-08-07T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_0.48,uS/cm,161,1994-06-25T00:00:00Z,1997-06-19T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_1.06,uS/cm,262,1994-06-25T00:00:00Z,1998-08-07T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_1.37,uS/cm,161,1994-06-25T00:00:00Z,1997-06-19T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_1.7,uS/cm,262,1994-06-25T00:00:00Z,1998-08-07T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_2.5,uS/cm,160,1994-06-25T00:00:00Z,1996-08-13T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_2.7,uS/cm,196,2015-08-27T00:00:00Z,2017-09-26T00:00:00Z,0.3
LTER,Arctic,Roche_Moutonnee_Creek_Main,uS/cm,273,2015-06-28T00:00:00Z,2017-09-26T00:00:00Z,0.3
LTER,Arctic,South_River_Main,uS/cm,65,2011-06-25T00:00:00Z,2015-07-14T00:00:00Z,0
LTER,Arctic,Toolik_Inlet_Main,uS/cm,3956,1995-07-13T00:00:00Z,2018-09-10T00:00:00Z,0.5
LTER,Arctic,Toolik_River_IMP,uS/cm,129,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_REF,uS/cm,129,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_TK_Above,uS/cm,105,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_TK_Low,uS/cm,129,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_TK_Mid,uS/cm,104,2007-07-19T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Trevor_Creek_Main,uS/cm,290,2004-07-23T00:00:00Z,2017-09-26T00:00:00Z,0.1
LTER,Arctic,VTK_IMP_Main,uS/cm,61,2011-06-24T00:00:00Z,2015-07-14T00:00:00Z,0
LTER,Arctic,VTK_REF_Main,uS/cm,61,2011-06-24T00:00:00Z,2015-07-14T00:00:00Z,0
LTER,Baltimore,BARN,uS/cm,1998,2013-12-05T00:00:00Z,2019-05-25T00:00:00Z,1
LTER,Baltimore,DRKR,uS/cm,542,2013-12-05T00:00:00Z,2017-03-09T00:00:00Z,0.5
LTER,Baltimore,GFCP,uS/cm,172,2014-01-30T00:00:00Z,2019-06-08T00:00:00Z,0.1
LTER,Baltimore,GFGB,uS/cm,1868,2013-12-05T00:00:00Z,2019-06-08T00:00:00Z,0.9
LTER,Baltimore,GFGL,uS/cm,1877,2002-11-27T00:00:00Z,2019-03-12T00:00:00Z,0.3
LTER,Baltimore,GFVN,uS/cm,945,2013-12-05T00:00:00Z,2019-06-08T00:00:00Z,0.5
LTER,Baltimore,MCDN,uS/cm,1334,2013-12-05T00:00:00Z,2018-05-04T00:00:00Z,0.8
LTER,Baltimore,POBR,uS/cm,1998,2013-12-05T00:00:00Z,2019-05-25T00:00:00Z,1
LTER,Baltimore,RGHT,uS/cm,164,2013-12-05T00:00:00Z,2017-01-13T00:00:00Z,0.1
LTER,Bonanza Creek,boston_creek,uS/cm,92,2005-06-03T00:00:00Z,2006-06-23T00:00:00Z,0.2
LTER,Bonanza Creek,C2,uS/cm,11413,1993-01-12T00:00:00Z,2018-08-14T00:00:00Z,1.2
LTER,Bonanza Creek,C3,uS/cm,11392,1993-01-12T00:00:00Z,2018-08-14T00:00:00Z,1.2
LTER,Bonanza Creek,C4,uS/cm,11404,1993-01-12T00:00:00Z,2018-08-14T00:00:00Z,1.2
LTER,Bonanza Creek,CB,uS/cm,1632,2002-05-28T00:00:00Z,2018-06-19T00:00:00Z,0.3
LTER,Bonanza Creek,CJ,uS/cm,2088,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4
LTER,Bonanza Creek,P6,uS/cm,1636,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3
LTER,Bonanza Creek,PC,uS/cm,1914,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3
LTER,Bonanza Creek,PJ,uS/cm,2107,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4
LTER,HBEF,w1,uS/cm,52545,1965-06-22T00:00:00Z,2019-05-29T00:00:00Z,2.7
LTER,HBEF,w2,uS/cm,52106,1965-06-22T00:00:00Z,2019-05-29T00:00:00Z,2.6
LTER,HBEF,w3,uS/cm,53015,1965-06-22T00:00:00Z,2019-05-29T00:00:00Z,2.7
