Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
NEON,NEON,ARIK,NA,1387,2012-02-01T00:00:00Z,2019-12-19T00:00:00Z,0.5
NEON,NEON,BIGC,NA,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7
NEON,NEON,BLDE,NA,512,2018-03-07T00:00:00Z,2019-12-04T00:00:00Z,0.8
NEON,NEON,BLUE,NA,886,2017-01-31T00:00:00Z,2019-12-17T00:00:00Z,0.8
NEON,NEON,BLWA,NA,991,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.8
NEON,NEON,CARI,NA,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5
NEON,NEON,COMO,NA,884,2015-05-22T00:00:00Z,2019-12-18T00:00:00Z,0.5
NEON,NEON,CUPE,NA,1090,2014-12-31T00:00:00Z,2019-12-10T00:00:00Z,0.6
NEON,NEON,FLNT,NA,818,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8
NEON,NEON,GUIL,NA,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6
NEON,NEON,HOPB,NA,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9
NEON,NEON,KING,NA,1085,2015-06-10T00:00:00Z,2019-12-04T00:00:00Z,0.7
NEON,NEON,LECO,NA,972,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6
NEON,NEON,LEWI,NA,939,2016-10-06T00:00:00Z,2019-12-12T00:00:00Z,0.8
NEON,NEON,MART,NA,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9
NEON,NEON,MAYF,NA,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7
NEON,NEON,MCDI,NA,990,2016-12-14T00:00:00Z,2019-12-11T00:00:00Z,0.9
NEON,NEON,MCRA,NA,693,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8
NEON,NEON,OKSR,NA,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5
NEON,NEON,POSE,NA,1194,2014-10-29T00:00:00Z,2019-12-11T00:00:00Z,0.6
NEON,NEON,PRIN,NA,789,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.7
NEON,NEON,REDB,NA,935,2012-02-04T00:00:00Z,2019-12-04T00:00:00Z,0.3
NEON,NEON,SYCA,NA,354,2017-06-21T00:00:00Z,2019-12-20T00:00:00Z,0.4
NEON,NEON,TECR,NA,284,2018-10-31T00:00:00Z,2019-11-14T00:00:00Z,0.7
NEON,NEON,TOMB,NA,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9
NEON,NEON,WALK,NA,1172,2015-04-14T00:00:00Z,2019-12-17T00:00:00Z,0.7
NEON,NEON,WLOU,NA,886,2017-05-03T00:00:00Z,2019-12-11T00:00:00Z,0.9
