Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,H. J. Andrews,GSLOOK,mg/L,38372,1968-12-09T00:00:00Z,2019-05-21T00:00:00Z,2.1
LTER,H. J. Andrews,GSMACK,mg/L,83798,1968-12-09T00:00:00Z,2019-05-22T00:00:00Z,4.5
LTER,H. J. Andrews,GSMACK,mg/L,83798,1968-12-09T00:00:00Z,2019-05-22T00:00:00Z,4.5
LTER,H. J. Andrews,GSWS01,mg/L,39722,1968-12-09T00:00:00Z,2019-05-21T00:00:00Z,2.2
LTER,H. J. Andrews,GSWS02,mg/L,55560,1968-12-09T00:00:00Z,2019-05-21T00:00:00Z,3
LTER,H. J. Andrews,GSWS03,mg/L,28248,1968-12-09T00:00:00Z,2017-04-05T00:00:00Z,1.6
LTER,H. J. Andrews,GSWS06,mg/L,39627,1968-12-09T00:00:00Z,2019-05-22T00:00:00Z,2.2
LTER,H. J. Andrews,GSWS07,mg/L,39912,1968-12-09T00:00:00Z,2019-05-22T00:00:00Z,2.2
LTER,H. J. Andrews,GSWS08,mg/L,45274,1968-12-09T00:00:00Z,2019-05-22T00:00:00Z,2.5
LTER,H. J. Andrews,GSWS09,mg/L,46538,1968-10-09T00:00:00Z,2019-05-21T00:00:00Z,2.5
LTER,H. J. Andrews,GSWS10,mg/L,46662,1968-10-09T00:00:00Z,2019-05-21T00:00:00Z,2.5
LTER,H. J. Andrews,GSWSMA,mg/L,28248,1968-12-09T00:00:00Z,2017-04-05T00:00:00Z,1.6
LTER,H. J. Andrews,GSWSMC,mg/L,28248,1968-12-09T00:00:00Z,2017-04-05T00:00:00Z,1.6
LTER,H. J. Andrews,GSWSMF,mg/L,28248,1968-12-09T00:00:00Z,2017-04-05T00:00:00Z,1.6
