Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,I-Minus_2_IMP,degrees C,63,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_REF,degrees C,63,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_High,degrees C,49,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_Low,degrees C,63,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_A,degrees C,233,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_AA,degrees C,207,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_B,degrees C,233,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_C,degrees C,233,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_D,degrees C,205,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_E,degrees C,204,1999-07-10T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.1,degrees C,142,2005-06-21T00:00:00Z,2017-09-26T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.177,degrees C,742,1994-07-16T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.3,degrees C,703,1998-06-23T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.47,degrees C,79,2010-08-17T00:00:00Z,2013-06-18T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.7,degrees C,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4
LTER,Arctic,Kuparuk_River_0,degrees C,54,2012-06-21T00:00:00Z,2013-06-18T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.3,degrees C,244,2011-06-22T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,degrees C,789,1994-06-25T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.74,degrees C,828,1994-07-16T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1,degrees C,676,1994-07-16T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.39,degrees C,847,1997-06-21T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.5,degrees C,103,1996-06-23T00:00:00Z,1998-06-23T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.8,degrees C,867,1994-07-16T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2,degrees C,795,1998-06-23T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2.5,degrees C,697,1999-06-24T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_3,degrees C,821,1996-06-23T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4,degrees C,689,1994-07-16T00:00:00Z,2013-06-18T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4.1,degrees C,243,2012-06-21T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,North_River_Main,degrees C,65,2011-06-25T00:00:00Z,2015-07-14T00:00:00Z,0
LTER,Arctic,Oksrukuyik_Creek_-0.1,degrees C,901,1994-06-25T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.3,degrees C,901,1994-06-25T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.7,degrees C,832,1994-06-25T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-1.2,degrees C,93,2015-06-17T00:00:00Z,2015-09-17T00:00:00Z,1
LTER,Arctic,Oksrukuyik_Creek_0.23,degrees C,262,1994-06-25T00:00:00Z,1998-08-07T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_0.48,degrees C,161,1994-06-25T00:00:00Z,1997-06-19T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_1.06,degrees C,262,1994-06-25T00:00:00Z,1998-08-07T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_1.37,degrees C,161,1994-06-25T00:00:00Z,1997-06-19T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_1.7,degrees C,262,1994-06-25T00:00:00Z,1998-08-07T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_2.5,degrees C,160,1994-06-25T00:00:00Z,1996-08-13T00:00:00Z,0.2
