network,domain,site_name
lter,arctic,Kuparuk_River_-0.1
lter,arctic,Kuparuk_River_-0.177
lter,arctic,Kuparuk_River_-0.3
lter,arctic,Kuparuk_River_-0.47
lter,arctic,Kuparuk_River_-0.7
lter,arctic,Kuparuk_River_0
lter,arctic,Kuparuk_River_0.3
lter,arctic,Kuparuk_River_0.56
lter,arctic,Kuparuk_River_0.74
lter,arctic,Kuparuk_River_1
lter,arctic,Kuparuk_River_1.39
lter,arctic,Kuparuk_River_1.5
lter,arctic,Kuparuk_River_1.8
lter,arctic,Kuparuk_River_2
lter,arctic,Kuparuk_River_2.5
lter,arctic,Kuparuk_River_3
lter,arctic,Kuparuk_River_4
lter,arctic,Kuparuk_River_4.1
lter,arctic,Oksrukuyik_Creek_-0.1
lter,arctic,Oksrukuyik_Creek_-0.3
lter,arctic,Oksrukuyik_Creek_-0.7
lter,arctic,Oksrukuyik_Creek_-1.2
lter,arctic,Oksrukuyik_Creek_0.23
lter,arctic,Oksrukuyik_Creek_0.48
lter,arctic,Oksrukuyik_Creek_1.06
lter,arctic,Oksrukuyik_Creek_1.37
lter,arctic,Oksrukuyik_Creek_1.7
lter,arctic,Oksrukuyik_Creek_2.5
lter,arctic,Oksrukuyik_Creek_2.7
lter,arctic,Roche_Moutonnee_Creek_Main
lter,arctic,Toolik_Inlet_Main
lter,arctic,Trevor_Creek_Main
lter,baltimore,BARN
lter,baltimore,DRKR
lter,baltimore,GFCP
lter,baltimore,GFGB
lter,baltimore,GFGL
lter,baltimore,GFVN
lter,baltimore,MAWI
lter,baltimore,MCDN
lter,baltimore,POBR
lter,bonanza,C2
lter,bonanza,C3
lter,bonanza,C4
lter,hbef,w1
lter,hbef,w2
lter,hbef,w3
lter,hbef,w4
lter,hbef,w5
lter,hbef,w6
lter,hbef,w7
lter,hbef,w8
lter,hbef,w9
lter,hjandrews,GSLOOK
lter,hjandrews,GSWS01
lter,hjandrews,GSWS02
lter,hjandrews,GSWS03
lter,hjandrews,GSWS06
lter,hjandrews,GSWS07
lter,hjandrews,GSWS08
lter,hjandrews,GSWS09
lter,hjandrews,GSWS10
lter,hjandrews,GSWSMA
lter,hjandrews,GSWSMC
lter,hjandrews,GSWSMF
lter,konza,N01B
lter,konza,N02B
lter,konza,N04D
lter,konza,N20B
lter,mcmurdo,aiken_f5
lter,mcmurdo,andrsn_h1
lter,mcmurdo,bohner_b5
lter,mcmurdo,canada_f1
lter,mcmurdo,common_c1
lter,mcmurdo,crescent_f8
lter,mcmurdo,delta_f10
lter,mcmurdo,green_f9
lter,mcmurdo,harnish_f7
lter,mcmurdo,house_h2
lter,mcmurdo,huey_f2
lter,mcmurdo,lawson_b3
lter,mcmurdo,lostseal_f3
lter,mcmurdo,onyx_lwright
lter,mcmurdo,onyx_vnda
lter,mcmurdo,priscu_b1
lter,mcmurdo,santafe_b2
lter,mcmurdo,vguerard_f6
lter,niwot,ALBION
lter,niwot,GREEN4
lter,niwot,MARTINELLI
lter,niwot,SADDLE
lter,plum,bear_meadow
lter,plum,cart_creek
lter,plum,saw_mill_brook
lter,plum,upper_ipswich
lter,santa_barbara,AB00
lter,santa_barbara,AT07
lter,santa_barbara,BC02
lter,santa_barbara,CP00
lter,santa_barbara,DV01
lter,santa_barbara,FK00
lter,santa_barbara,GV01
lter,santa_barbara,HO00
lter,santa_barbara,MC00
lter,santa_barbara,MC06
lter,santa_barbara,ON02
lter,santa_barbara,RG01
lter,santa_barbara,RN01
lter,santa_barbara,RS02
lter,santa_barbara,SM01
lter,santa_barbara,SM04
lter,santa_barbara,SP02
lter,santa_barbara,TE03
