network,domain,site_code,ws_area_ha,cc_mean_annual_precip,cc_mean_annual_temp,vd_mean_eos,vd_mean_los,va_mean_annual_gpp,va_mean_annual_npp,te_slope_mean,te_elev_mean,te_elev_min,te_elev_max,te_aspect_mean,hd_bfi_mean,lg_nlcd_water,lg_nlcd_ice_snow,lg_nlcd_dev_open,lg_nlcd_dev_low,lg_nlcd_dev_med,lg_nlcd_dev_hi,lg_nlcd_barren,lg_nlcd_forest_dec,lg_nlcd_forest_evr,lg_nlcd_forest_mix,lg_nlcd_shrub_dwr,lg_nlcd_shrub,lg_nlcd_grass,lg_nlcd_sedge,lg_lncd_lichens,lg_nlcd_moss,lg_nlcd_pasture,lg_nlcd_crop,lg_nlcd_wetland_wood,lg_nlcd_wetland_herb,pf_soil_org,pf_soil_sand,pf_soil_silt,pf_soil_clay,pf_soil_ph,pi_soil_thickness,ci_mean_annual_et,pd_geo_Al2O3_mean,pd_geo_CaO_mean,pd_geo_CompressStrength_mean,pd_geo_Fe2O3_mean,pd_geo_HydaulicCond_mean,pd_geo_K2O_mean,pd_geo_MgO_mean,pd_geo_N_mean,pd_geo_Na2O_mean,pd_geo_P2O5_mean,pd_geo_S_mean,pd_geo_SiO2_mean
lter,hbef,w1,14.0897397682343,1283.8875492939464,5.706006432984337,303.3529411764706,184,13460.47938831576,7820.823655825714,17.102342260161162,619.0531039650839,486.2210693359375,736.470703125,162.26977847490573,49,0,0,0,0,0,0,0,88.9,2,9.1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lter,hbef,w2,17.926609031286,1283.8875492939464,5.706006432984337,295.11764705882354,169,13551.408882430707,7830.29355868,16.225931527883002,609.1666651140142,486.0589294433594,715.68994140625,155.5663247415829,49,0,0,0,0,0,0,0,87,2.5,10.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lter,hbef,w3,40.2449543892093,1283.8875492939464,5.706006432984337,311.8235294117647,193,13375.538041653377,7725.518234968571,13.30448296606779,631.7634148330189,522.1351318359375,718.0506591796875,200.65342553380793,49,0,0,0,0,0,0,0,68.3,7.1,24.6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lter,hbef,w4,38.8277892804943,1283.8875492939464,5.706006432984337,337.11764705882354,200,13627.664005437888,7855.7132791,13.620158720613311,605.8142908248772,446.07415771484375,745.7200927734375,141.92828510977438,49,0,0,0,0,0,0,0,96.7,0,3.3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lter,hbef,w5,20.7826040576217,1429.4729757139896,4.8848478873322385,344.5882352941176,239,13435.350497762229,7800.774483797143,14.59651462077637,631.545232785751,486.43023681640625,769.1588134765625,156.75496276024185,49,0,0,0,0,0,0,0,97.2,0,2.8,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lter,hbef,w6,14.9645183324444,1429.4729757139896,4.8848478873322385,349.1764705882353,254,13214.158157432104,7747.378843762857,13.337973681765062,679.4124532202803,543.17095947265625,795.84234619140625,149.66436863549202,49,0,0,0,0,0,0,0,83.6,1.4,15,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lter,hbef,w7,76.5978880179201,1411.9315493222937,4.880229238291837,324.05882352941177,204,13702.698971361995,7027.189288802857,12.902941330651755,771.9866457335371,612.419189453125,905.0484619140625,213.30246849668615,48.52,0,0,0,0,0,0,0,11.1,58.6,30.3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lter,hbef,w8,61.0434202792444,1411.9315493222937,4.880229238291837,334.11764705882354,226,13878.70724119402,6964.96878518,14.804946121872737,778.4769140475784,594.239501953125,905.08685302734375,235.1699344943667,48.3,0,0,0,0,0,0,0,1.9,81.8,16.3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lter,hbef,w9,70.2630617540247,1411.9315493222937,4.880229238291837,345.94117647058823,234,14106.462061189402,6985.817801648572,10.842719748024221,802.6210796269503,681.566162109375,904.6859130859375,191.0562458449774,48.23,0,0,0,0,0,0,0,0,93.6,6.4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lter,hjandrews,GSLOOK,6232.56653627706,2203.0068010133664,8.95483582564604,312,NA,18070.455653404,8720.075197479215,12.895930880586791,1004.8430894308943,448,1573,215.89331488667466,63.5,0,0,0,0,0,0,0,0,97.3,0,0,2.5,0.1,0,0,0,0,0,0,0,6.29,34.7,44.87,20.43,5.32,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
